resp_id,urban_rural,region,ethnicity,vote
GHA1106,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1110,Rural,Ashanti,Ewe_Ga,New Patriotic Party (NPP)
GHA1111,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA1113,Rural,Central,Akan,National Democratic Congress (NDC)
GHA1117,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1118,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1123,Rural,Ashanti,Ewe_Ga,National Democratic Congress (NDC)
GHA1128,Urban,Western,Akan,New Patriotic Party (NPP)
GHA1129,Urban,Western,Akan,New Patriotic Party (NPP)
GHA1132,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA1134,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA1136,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA1137,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1138,Rural,Ashanti,Ewe_Ga,National Democratic Congress (NDC)
GHA1150,Urban,Western,Akan,National Democratic Congress (NDC)
GHA1157,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1160,Rural,Central,Akan,National Democratic Congress (NDC)
GHA1166,Urban,Western,Akan,National Democratic Congress (NDC)
GHA1167,Urban,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA1171,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1177,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1179,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1182,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1184,Rural,Central,Akan,National Democratic Congress (NDC)
GHA1187,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1188,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1189,Urban,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA1190,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1192,Rural,Central,Akan,New Patriotic Party (NPP)
GHA1201,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA1204,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA1207,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1230,Urban,Central,Akan,New Patriotic Party (NPP)
GHA1231,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA1232,Urban,Central,Akan,New Patriotic Party (NPP)
GHA1233,Urban,Central,Ewe_Ga,New Patriotic Party (NPP)
GHA1234,Urban,Central,Akan,National Democratic Congress (NDC)
GHA1235,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1236,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1237,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1239,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA1244,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA1246,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA1255,Rural,Eastern,Akan,National Democratic Congress (NDC)
GHA1259,Rural,Brong-Ahafo,Akan,National Democratic Congress (NDC)
GHA1260,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1261,Urban,Central,Akan,New Patriotic Party (NPP)
GHA1266,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1269,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1270,Urban,Central,Akan,National Democratic Congress (NDC)
GHA1272,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA1273,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1275,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA1279,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA1289,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA1291,Rural,Western North,Ewe_Ga,National Democratic Congress (NDC)
GHA1293,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1294,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA1300,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA1303,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA1308,Rural,Western,Akan,National Democratic Congress (NDC)
GHA1310,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA1312,Rural,Western North,Ewe_Ga,National Democratic Congress (NDC)
GHA1317,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA1320,Rural,Western North,Akan,New Patriotic Party (NPP)
GHA1325,Rural,Western,Akan,National Democratic Congress (NDC)
GHA1330,Urban,Eastern,Ewe_Ga,New Patriotic Party (NPP)
