id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
322,1983,0.3240620493888855,0.5284546613693237,0.5428431034088135,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting a windfall profits tax on natural gas when, or if, natural gas prices are decontrolled.",0
323,1983,0.6674638390541077,0.7355937957763672,0.6267549395561218,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting a new minimum tax on corporate income.",1
324,1983,0.5864273309707642,0.7289249300956726,0.6147445440292358,"In order to reduce the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Substantial increases in federal taxes on corporations.",1
325,1983,0.4366668462753296,0.5179866552352905,0.4313198924064636,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Ending the federal income tax deduction on all installment loans except home mortgages.",1
326,1983,0.6222460269927979,0.7131385803222656,0.5936819314956665,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting an income tax surcharge of up to 10% more of current taxes on corporations.",1
327,1983,0.4808349013328552,0.577670156955719,0.6076003313064575,"Various specific tax proposals have been made to reduce the federal deficit. To cut the size of the budget deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting a new tax on imported crude oil.",1
350,1985,0.7389214038848877,0.7523219585418701,0.7628474235534668,"Now, to cut the size of the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting on a minimum tax on corporate income",1
351,1985,0.4534834027290344,0.5269687175750732,0.51288902759552,"Now, to cut the size of the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Putting on new federal taxes on all refined petroleum products",0
352,1985,0.2576051950454712,0.240014910697937,0.2889938354492187,"Now, to cut the size of the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: A 10% surcharge or increase on individual federal income taxes",0
353,1985,0.3623130321502685,0.284358263015747,0.3442347049713135,"Now, to cut the size of the federal deficit, would you favor or oppose (READ EACH ITEM)? Item: Taxing employee health insurance premiums that are paid by employers and that exceed a certain amount",0
